means,std
0.9,0.0371573762722806
0.9051282051282051,0.03209398864191212
0.9102564102564104,0.048725445517057174
0.9179487179487179,0.04650075387601859
0.9153846153846155,0.034294705380750204
0.8974358974358975,0.05405602837894665
0.9076923076923077,0.040451827576749505
0.9128205128205129,0.036662582204320025
0.9076923076923078,0.047124952998599055
0.9076923076923078,0.04865042554105199
0.9076923076923078,0.05156616454358413
0.8974358974358975,0.036261886214694755
0.9153846153846155,0.029730815608420648
0.9,0.02821807524652853
0.9256410256410257,0.05191911982388868
0.9025641025641027,0.03585671275795391
0.9051282051282052,0.03429470538075022
0.9102564102564102,0.06309753444544189
0.9128205128205129,0.03860372577995286
0.9051282051282051,0.045307207797260066
0.9082051282051282,0.04202870169930807
