means,std
0.941025641025641,0.03209398864191209
0.9358974358974359,0.048725445517057174
0.941025641025641,0.05275657901542209
0.9384615384615385,0.0404518275767495
0.9384615384615385,0.05695155982549635
0.9384615384615385,0.036662582204320004
0.9384615384615385,0.0455484191264076
0.941025641025641,0.032093988641912104
0.9333333333333333,0.04391532505526539
0.9358974358974359,0.02769547307011903
0.9384615384615385,0.0455484191264076
0.9333333333333333,0.030097122840442723
0.9358974358974359,0.04399841940592734
0.9461538461538461,0.030697923070201638
0.9435897435897436,0.033757978902788865
0.9333333333333333,0.04221910781274688
0.941025641025641,0.024325212770525968
0.9384615384615385,0.030097122840442726
0.9461538461538461,0.030697923070201635
0.9307692307692308,0.04195876139703786
0.9384615384615383,0.03851465899556923
