means,std
0.9153846153846155,0.034294705380750204
0.9153846153846155,0.06948880897154817
0.9153846153846155,0.04530720779726006
0.9128205128205129,0.045548419126407606
0.9128205128205129,0.0455484191264076
0.9205128205128206,0.035136418446315314
0.9076923076923077,0.040451827576749505
0.9076923076923077,0.05565408750803316
0.9153846153846154,0.04689185204904342
0.9205128205128206,0.05330757651115445
0.9128205128205129,0.03009712284044273
0.9153846153846155,0.048424668287915536
0.917948717948718,0.03375797890278887
0.9128205128205128,0.03243361702736798
0.917948717948718,0.046500753876018604
0.9153846153846154,0.0715604638937931
0.9179487179487179,0.06486723405473598
0.9102564102564104,0.027695473070119055
0.9256410256410257,0.04432923924748697
0.9102564102564102,0.04230553391714385
0.9149999999999998,0.04568007038057411
