means,std
0.9128205128205129,0.04865042554105198
0.9153846153846155,0.03636247416441478
0.9256410256410257,0.03513641844631531
0.8923076923076921,0.07431475254456124
0.9102564102564104,0.060737907707486744
0.9230769230769231,0.03197997766473453
0.9153846153846154,0.04366509324596512
0.9000000000000001,0.03907394683987164
0.9128205128205129,0.06303962022080607
0.9025641025641027,0.043244822703157326
0.9230769230769231,0.038223384230765614
0.9153846153846155,0.03636247416441477
0.9153846153846154,0.04530720779726006
0.9128205128205129,0.03243361702736798
0.917948717948718,0.03151981011040302
0.9076923076923077,0.03243361702736799
0.9153846153846155,0.04689185204904342
0.9153846153846155,0.04018003170442103
0.9025641025641026,0.050996355180089915
0.9128205128205129,0.0543256361780195
0.9124358974358975,0.0442439712273759
