means,std
0.9102564102564102,0.03869822708605733
0.9205128205128206,0.04432923924748697
0.9153846153846155,0.045307207797260066
0.9205128205128206,0.03715737627228061
0.9205128205128205,0.0371573762722806
0.8948717948717949,0.022451154763356764
0.9128205128205129,0.03461274654925912
0.9102564102564102,0.03471811284032462
0.9128205128205129,0.059461631216841324
0.9051282051282052,0.04530720779726006
0.9,0.04264948700811846
0.9179487179487179,0.04152122325296108
0.9076923076923077,0.050129498456804034
0.9025641025641026,0.046500753876018604
0.8974358974358975,0.056694440860776074
0.9102564102564102,0.04054202128420998
0.8897435897435898,0.048424668287915536
0.9153846153846155,0.049910431865492065
0.9025641025641026,0.055126548706314865
0.9076923076923077,0.03860372577995286
0.9087179487179489,0.043465153961048546
