means,std
0.8923076923076925,0.050996355180089915
0.9,0.04902437743487175
0.8948717948717949,0.054660775915622184
0.8897435897435898,0.046891852049043434
0.9051282051282051,0.05675882979789399
0.9128205128205128,0.03860372577995286
0.9205128205128205,0.04751091319551211
0.8923076923076924,0.05240926398890902
0.8948717948717949,0.03715737627228061
0.9128205128205129,0.05565408750803316
0.9076923076923078,0.02756327435315742
0.8897435897435899,0.05545684853849003
0.9025641025641026,0.04490230952671348
0.8923076923076924,0.06139584614040331
0.8794871794871796,0.06286555743054116
0.9,0.05049249739398952
0.9076923076923077,0.05822012432795351
0.9230769230769231,0.04983719568243846
0.8794871794871794,0.04842466828791554
0.9025641025641027,0.03972290611494787
0.9,0.049427439245937975
