means,std
0.9205128205128206,0.047510913195512115
0.9025641025641026,0.05378506913693085
0.9102564102564102,0.03869822708605733
0.8820512820512821,0.048650425541052
0.8948717948717949,0.05466077591562217
0.9128205128205129,0.032433617027367974
0.9153846153846155,0.029730815608420655
0.9,0.040900807227368885
0.8820512820512821,0.03666258220432003
0.9102564102564104,0.04720239750934727
0.9153846153846154,0.04366509324596513
0.9102564102564104,0.04399841940592734
0.9102564102564102,0.057015658393702276
0.9,0.053307576511154454
0.8974358974358975,0.06943622568064924
0.8846153846153847,0.05701565839370229
0.9025641025641026,0.049543168363040825
0.8820512820512819,0.07372259368494982
0.8974358974358975,0.04983719568243847
0.8974358974358975,0.038223384230765635
0.9014102564102565,0.048300030202214746
